County,Unique_Callsigns,Count
HAM,112,"AA2ZW,AA3R,AH2O,AI2T,AI6O,K0MPH,K1RO,K1VMT,K2DBK,K2LE/1,K2MV,K2NV,K2Q,K2QB,K2SSS,K2XA,K2YG,K2ZR,K3GHH/2,K3QP,K3RJS,K3TN,K4RUM,K5QQ,K8CW,K8GB,K8MR,K9CW,K9JK,K9NW,K9UIY,KA3EEO,KC1EGF,KC2KY,KC3M,KC5AAV,KD2YMM,KG9X,KM2L,KR2H,KR4AE,KV2X,KX2NY,N0LY,N0RY,N0SM,N1IBM,N2B,N2JJ,N2MF,N2PP,N2RC,N2T,N2Y,N2ZX,N3CKI,N3GJ,N3JT,N3KTA,N3WT,N3XF,N4CW,N4DPM,N8II,N8MVU,N9RV,NE8P,NM2A,NN2L,NQ2W,OM2VLL,VE2IAA,VE3IFT,VE3SIF,VE3TM,VE3WG,VE3YT,W0ZQ,W1AO,W1QK,W2FU,W2GR,W2LC,W2M,W2NTV,W2OW,W2PJ,W2RQ,W2TB,W2TZ,W2VM,W3PD,W3RJ,W4LEW,W8HCG,W8NUD,WA2CHV,WA2LMC,WA2QAU,WA5SOG,WA8OJR,WB2AMN,WB2JLR,WB2KAO,WB2KLD,WB2SIH,WB8SCT,WB9HFK,WM4Q,WO4O,WW2Y,WX8C"
HER,611,"2E0DVS,2E0VDX,AA0FO,AA2IL,AA2ZW,AA3LX,AA3R,AA5HK,AB1BL,AB2FN,AB2IW,AB2TC,AB3CX,AB8AG,AC2FA,AC2N,AC2RL,AC2VE,AC2XC,AC3ML,AC3MR,AC6ZM,AC7GG,AC8HZ,AC9XN,AD2DU,AE0MO,AE2EH,AF5CC,AF6MF,AF6V,AH2O,AI0H,AI4DB,AJ4HP,AJ4LN,AJ5ZX,AK2F,CM2QV,CX3AT,DA1TT,DB7HL,DC2VE,DF2FQ,DG1KJG,DJ6EA,DL0DG,DL0HG,DO2PY,DO4HPF,DP6T,DR1D,EA1VMU,EA5/G4KEL,EA5JRI,EI7JNB,F1PBZ,F4EUG,F4JEC,F4LBT,F8PDR,G0MLC,G1BES,G4IBH,G4KXP,G4WAM,G5KC,G7GNS,G7GRO,G7ORH,G8KWP,G8LBS,G8RZA,GB0SOU,GI4SIP,HB9DUQ,IK6FJN,IU1QZW,IU4PZK,IU7TVA,IV3JJO,IW1CWL,IW1RLS,IZ3BGL,IZ3ZMR,IZ5JON,IZ7ANM,K0AD,K0FG,K0KSH,K0LTL,K0MPH,K0RC,K0SID,K0TK,K0TRL,K0UU,K0VBU,K1HAR,K1KJM,K1RO,K1SOE,K1THE,K1UI,K1UK,K2AJK,K2AL,K2DBK,K2DJF,K2EP,K2FEO,K2JJK,K2KDX,K2KT,K2MV,K2OEQ,K2OS,K2Q/M,K2QB,K2QY,K2SSS,K2XA,K2YG,K2ZR,K2ZVL/M,K3BBQ,K3GWK,K3IS,K3QP,K3RJS,K3SEM,K3YH,K4ADR,K4BAI,K4DR,K4GM,K4KOT,K4NEB,K4QQG,K4RUM,K4RXH,K4SBZ,K4VL,K4WNM,K4YFH,K4ZFT,K5AKW,K5BNF,K5CLB,K5CM,K5FAM,K5QQ,K5WVF,K5Y,K5ZD,K6ACW,K6K,K7REL,K7SEN,K8CW,K8GED,K8MR,K8OOK,K8RGI,K8SUG,K8TDF,K8ZT,K9ALT,K9CW,K9ELF,K9FF,K9HKS,K9JK,K9LMG,K9LTX,K9LZJ,K9NW,K9OQ,K9PW,K9UIY,KA1RVB,KA2ENE,KA2FIR,KA2YEG,KA3EEO,KA3MTT,KA4LTC,KA8TOA,KB0CFD,KB0VK,KB1RVU,KB2GZH,KB2TDH,KB2TDT,KB2URI,KB2UUL,KB2VPI,KB4CG,KB5HNW,KB8NXH,KB8TPT,KB8USO,KB9LGS,KC0WCF,KC1QEM,KC1SOW,KC2BBI,KC2DPF,KC2KDD,KC2LEB,KC2MBV,KC2ORM,KC2SRZ,KC2WLR,KC2YME,KC3HPT,KC3RES,KC3TMZ,KC3ZQB,KC4BBD/M,KC5RPF,KC9CSQ,KC9DGP,KC9JML,KD2CTZ,KD2DLL,KD2EFR,KD2EFT,KD2KEH,KD2KW,KD2NDY,KD2PLR,KD2QNA,KD2SER,KD2YMM,KD4AFP,KD4RJ,KD5J,KD6AF,KD8KXD,KD9GY,KD9KSR,KD9MGZ,KD9VGL,KE1IH,KE2CIO,KE2CSB,KE2CWJ,KE2DPK,KE2EGF,KE2EVX,KE2FLW,KE2X,KE5MDP,KE6SWE,KE7LBB,KE8WYY,KE9CDJ,KF0QFC,KF3DJ,KF3EB,KF6KXG,KF8ECI,KG4CUT,KG4VET,KG4ZGK/AG,KG5JEN,KG9D,KI4RKM,KI5OLV/M,KI5RGH,KI6FPL,KJ5ACR,KJ5AFI,KJ5GLC,KJ5ICM,KJ5KTN,KJ5LGA,KJ5MXX,KJ6PNF,KJ6VRC,KK4CS,KK4JFM,KK4RR,KK4TE,KM2O,KM4IAJ,KM4RO,KN4DOK,KN4UDL,KN6IQ,KN6VTC,KO4GIC,KO4IHM,KO4PDZ,KO4QEX,KO4UFD,KO6FEJ,KO8SCA,KQ2R,KQ4JXM,KQ4LTT,KQ4LUL,KQ4OIF,KQ4RAF,KQ4ZCQ,KQ6RP,KQ9Y,KR2AA,KR2H,KR3DX,KR4BJK,KR4CDK,KR4ESI,KR4ESP,KR4EST,KR4FIN,KR4FQG,KR4FWK,KS2G,KU4FX,KV4I,KW9A,KX2NY,KY4EFD,KY7M,KZ4LU,KZ4V,LZ1VDR,LZ2WYY,M0EBJ,M0OYH/P,M0XFJ,M1KEY,M6ZBO,M7GPX,M7MWW,M7SLB,M8GSY,M8VPF,M9TNA,MM3GQT,N0FGK,N0HJZ,N0JAV,N0LY,N0QOK,N0QQD,N0TTZ,N0UJJ,N0WNX,N1ADX,N1API,N1GBE,N1IBM,N1JP,N1NQD,N1WRK,N2BOC,N2CBH/3,N2EZY,N2FKU,N2GA,N2GRZ,N2IDA,N2JJ,N2MEE,N2MF,N2NKX,N2NRV,N2OIG,N2PA,N2PP,N2PQJ,N2PTF,N2PYH,N2RC,N2SQW,N2XPM,N2Y,N2YI,N2ZX,N3DPL,N3FTO,N3GJ,N3GTH,N3JT,N3KI,N3KTA,N3LOU,N3PPE,N3QXC,N3RF,N4CW,N4EMM/M,N4GK,N4NJL,N4RQZ,N4SNY,N4ZQA,N5EKF,N5KSS,N5KW,N5RZ,N5TJ,N6DE,N6MU,N6PPO,N7EPD,N7IR,N7LRG,N7XEE,N8DNA,N8HAM,N8II,N8MD,N8MLK,N8MVU,N8QE,N8RGA,N8VY,N9EAT,N9GXA,N9MS,N9NM,NC4AL,NE2R,NE8P,NF0N,NG2P,NG5N,NN2L,NN2NN,NP3ST,NQ2U,NQ2W,NS4TT,NV4M,NW5Q,NX9B,NY2A,OE8ROQ,OM2VL,ON7TLT,ON8MIC,PA3WZA,PA5HE,PA9M,PD1JN,PD2AJ,PE2KDK,PI4RSL,SY2ECG,TA3QZ,VA3CBU,VA3KRJ,VA3VS,VA3WXW,VE1RGO,VE1RPA,VE2IAA,VE2SKLW,VE3AQ,VE3HZ,VE3IFT,VE3JZT,VE3MV,VE3OMV,VE3SIF,VE3SSR,VE3TCS,VE3TM,VE3UNF,VE3WG,VE3YT,VE9RLW,W0ADT,W0BH,W0BM,W0DCN,W0ELT,W0ZQ,W1AJT,W1AO,W1ARY,W1FM,W1JIM,W1MRC,W1SNE,W1SSN,W1TO,W1WV,W1WV/M,W2AAA,W2BX,W2CXM,W2DXE,W2FU,W2GDJ,W2HMT,W2IOC,W2KFG,W2KV,W2NTV,W2NY,W2NYW,W2OOF,W2REA,W2RQ,W2TB,W2TZ,W3CRR,W3TKB,W3US,W4DRA,W4EE,W4GGJ,W4LEW,W4MZ,W4S,W4TTA,W4WWQ,W4YE,W5HOU,W5KWB,W5TM,W7GF,W7KAM,W7KPL,W7LG,W8CBG,W8DDS,W8HCG,W8NUD,W8PI,W8QEJ,W8VRD,W8VTN,W9ARO,W9AWM,W9AXD,W9DC,W9GAK,W9GS/M,W9MID,W9OOO,W9QL,W9RE,W9SN,W9TCV,WA0I,WA1ZLG,WA2CHV,WA2CP,WA2DNI,WA2GOT,WA2JQK,WA2LMC,WA2NYY,WA2QAU,WA2QYA,WA2TFT,WA3AFS,WA3INC,WA4HMR,WA5DTK,WA5SOG,WA7EM,WA8ZBT,WA9POQ,WA9YI,WA9YKK,WB0CLI,WB2AIV,WB2AMN,WB2CIA,WB2JLR,WB2KAO,WB2KLD,WB2KUT,WB2PJH,WB2QVA,WB2RRF,WB2WFJ,WB2WZC,WB3X,WB4CS,WB4QKZ,WB5SGH,WB9HFK,WD0BRP,WD5FUN,WF4AC,WH7U,WJ0E,WJ8Y,WK9I,WK9JK,WN0T,WO4O,WQ6X,WV1DAD,WW2J,WW2P,WW2Y,WX1O,WX3S,WX8C,WX8Q,WZ4T,YO7VXD"
IA,12,"AH2O,KM2O,KO8CA,N2Y,N3KTA,W2CCC,W2FU,W2GDJ,W2PJ,WA2CP,WA2DNI,WA2QAU"
IL,209,"AA2ZW,AB2FN,AB3CX,AB3CX/OTS,AC2XC,AC3LW,AD2MM,AD2TM,AH2O,AI2T,DK2CX,DK7HA,DK9PY,DL2RPS,DL5JS,DL6JZ,DM5R,K0SID,K2A,K2A/ALB,K2A/BRM,K2A/CHE,K2A/COL,K2A/COR,K2A/DEL,K2A/DUT,K2A/MAD,K2A/ONO,K2A/ORA,K2A/OTS,K2A/REN,K2A/SAR,K2A/SCH,K2A/SCO,K2A/SCU,K2A/SUL,K2A/TIO,K2A/TOM,K2A/WAS,K2AL,K2EAG,K2EP,K2FEO,K2G,K2IW,K2IZ,K2NV,K2Q,K2Q/ALL,K2Q/CAT,K2Q/GEN,K2Q/M,K2Q/MON,K2Q/STE,K2Q/YAT,K2QB,K2SSS,K2V,K2V/CAY,K2V/JEF,K2V/LEW,K2V/ONE,K2V/ONO,K2V/ONT,K2V/OSW,K2V/STL,K2XA,K2ZR,K3GHH,K3GHH/2,K4RUM,KB2TDT,KC2KY,KC2OMG,KD2DLL,KD2EAT,KD2EFR,KE2AIZ,KE2AUS,KE2DEB,KE2EEQ,KE2EGF,KE2ELI,KE2EVX,KE2FLW,KE2SD,KE2X,KJ2LBR,KM2L,KN2M,KO8SCA,KR2AA,KS2G,KV2X,KV2X/M,KV2X/MAD,KV2X/ONO,KX2NY,N1NQD,N2A,N2B,N2B/CLI,N2BOC,N2CU,N2CU/ALL,N2CU/CAT,N2CU/CHA,N2CU/ERI,N2CU/GEN,N2CU/LIV,N2CU/M,N2CU/MON,N2CU/NIA,N2CU/ONT,N2CU/ORL,N2CU/STE,N2CU/WYO,N2DJS,N2GA,N2MEE,N2MF,N2OA,N2PA,N2PP,N2PYH,N2RC,N2SQW,N2T,N2T/BRM,N2T/CAY,N2T/CGO,N2T/CHE,N2T/DEL,N2T/FUL,N2T/HER,N2T/MAD,N2T/MTG,N2T/ONE,N2T/ONO,N2T/ONT,N2T/OSW,N2T/OTS,N2T/SCO,N2T/SCU,N2T/SEN,N2T/STE,N2T/TIO,N2T/TOM,N2T/YAT,N2TKT,N2TO,N2TONO,N2UM,N2Y,N2Y/ORA,N2Y/PUT,N2Y/ROC,N2Y/WES,N2ZX,N3ARB,N3KTA,NJ1F,NJ1F/SAR,NM2A,NN2L,NQ2U,NQ2W,W2AAA,W2CCC,W2DQ,W2DXE,W2E,W2FU,W2GDJ,W2GR,W2KYM,W2LC,W2M,W2MF,W2NTV,W2NY,W2NYW,W2OW,W2PJ,W2QL,W2SB,W2SO,W2TB,W2TZ,WA2CHV,WA2CP,WA2DE,WA2DNI,WA2GOT,WA2JQK,WA2NYY,WA2QAU,WA2Y,WB2AMN,WB2JLR,WB2KAO,WB2KWC,WB2SIH,WB2WPM,WB8VNH,WM2L,WT2X,WW2P,WW2Y"
IN,103,"AA2MM,AA2ZW,AB2FN,AB3CX,AC2XC,AD2MM,AH2O,K2A,K2AL,K2EAG,K2EP,K2FEO,K2NV,K2PTC,K2Q,K2QB,K2SSS,K2V,K2XA,K2ZR,K3GHH/2,K4RUM,KC2KY,KC2MBV,KD2DLL,KD2EFR,KD2X,KE1IH,KE2AUS,KE2DEB,KE2EEQ,KE2EGF,KE2EVX,KE2SD,KE2X,KJ2LBR,KM2L,KM2O,KN2M,KO8SCA,KR2AA,KS2G,KV2X,KX2NY,N1NQD,N2B,N2BOC,N2CU,N2CU/M,N2GA,N2JJ,N2MEE,N2MF,N2OA,N2PA,N2PP,N2PYH,N2RC,N2SQW,N2T,N2TKT,N2TO,N2Y,N2Y/M,N2ZX,N3ABR,N3KTA,NJ1F,NM2A,NN2L,NQ2U,NQ2W,W2AAA,W2CCC,W2CO,W2DQ,W2DXE,W2E,W2FU,W2GDJ,W2GR,W2M,W2NYW,W2OW,W2PJ,W2REA,W2SB,W2SO,W2TB,W2TZ,WA2CHV,WA2CP,WA2DE,WA2DNI,WA2GOT,WA2JQK,WA2NYY,WA2QAU,WB2AMN,WB2KAO,WB2SIH,WW2P,WW2Y"
JEF,83,"AA0AW,AA3R,AC4G,EA1AT,EA3NO,F4EUG,K0AD,K0MPH,K2SSS,K2TV,K2ZR,K3YP,K4RUM,K4YFH,K5QQ,K5ZD,K6KQV,K7REL,K7SS,K8CW,K8MR,K9CW,K9PW,KA0PQW,KA3JNN,KB0NES,KB4CG,KC3M,KD2KW,KG9X,KM8L,KN0V,KR2AA,KR4AE,KW4GF,KW9A,KX2NY,KY7M,N0HJZ,N0LY,N2MF,N2ZX,N2ZZ,N3IW,N3JT,N3KI,N5RZ,N5TJ,N6DE,N7IR,N8DNA,N8II,NE8P,NN7A,NX9B,OM2VL,VE3SIF,W0BH,W0BM,W0ELT,W0PI,W0SK,W0UY,W0ZQ,W1AJT,W2FU,W2RQ,W3TB,W3US,W4CMG,W5TM,W8HCG,W8PI,W9DC,WA0LIF,WA5SOG,WA8KAN,WA8ZBT,WB0CJB,WB9HFK,WO4O,WO9B,WW2P"
KIN,390,"AA0FO,AA1AR,AA1SL,AA2ZW,AA3R,AA8TT,AB3CX,AB4ER,AB8LL,AC2N,AC2RL,AC2VE,AC2XC,AC3ML,AC7PB,AC8OW,AC8XI,AC9TO,AD2MM,AD2TM,AD8KB,AD8MS,AD8OI,AD9DJ,AE8EM,AG1A,AH2O,AJ4LN,AK2G,EA5IGO,HK4SSI,K0KDS,K0VBU,K1AQ,K1BZ,K2AJK,K2DBK,K2EAG,K2FEO,K2G,K2MV,K2UPD,K2WPM,K2XA,K2YG,K2YNT,K3RJS,K3SEM,K3VED,K4ACJ,K4CAE,K4GC,K4JC,K4MN,K4OGB,K4OTT,K4QQG,K4SBZ,K5CA,K5CM,K5MAY,K5PRY,K5WVF,K5WYS,K6HTD,K6HU,K6RBV,K7BUX,K7REL,K7USN,K8AEP,K8MR,K8MV,K8NEE,K8NIV,K8OB,K9DAZ,K9JK,K9OB,KA0TOM,KA1LLX,KA1VRY,KA2YEG,KA8CFM,KB0NES,KB1RVU,KB2TDT,KB4CG,KB4LOA,KB8USO,KB9BOK,KB9LGS,KB9RCR,KC0RMK,KC0UJC,KC1CYT,KC1DJC,KC1HHO,KC1QXL,KC1SJS,KC1UKO,KC2AIZ,KC2BBI,KC2KDD,KC2LEB,KC2MBV,KC2UWS,KC3CPT,KC3OQ,KC3QBT,KC3SZH,KC3YHD,KC3ZWP,KC4PTN,KC5RFU/M,KC5VOY,KC6SEH,KC8WGO,KD2CTZ,KD2DLL,KD2EAT,KD2EFR,KD2KEH,KD2VRL,KD5PIT,KD8LXA,KD8TYQ,KD9FCE,KD9GY,KE0WWG,KE2CNS,KE2EGF,KE2ELI,KE2ELL,KE2FDA,KE2GCN,KE2GIZ,KE2SD,KE4PTP,KE5SWX,KE8JW,KE8UWV,KE8ZJT,KE8ZZH,KE9BKL,KE9CQP,KF0JW,KF0KVM,KF0RRJ,KF3EB,KF8AEW,KF8EKW,KG4GTR,KG4JZU,KG8AI,KG8CO,KI5MM,KJ2LBR,KJ5EKW,KJ5LEB,KJ6XC,KJ7DMI,KK4ANE,KK4CS,KK4OGM,KK4TE,KK4UHY,KK5MR,KK7CSK,KK7VCL,KM4IAJ,KM4LHG,KM4RO,KM7CT/AM,KN4AIW,KN4NGK,KN4OSY,KN4PWL,KN4ZVJ,KN6JB,KN6VTC,KO4CPN,KO4KDV,KO4TUP,KO4ZYG,KO8SCA,KQ1S,KQ4NDN,KQ4OIF,KQ4RLM,KQ4SGD,KQ4TRQ,KQ9E,KR2AA,KR3DX,KR4DKQ,KR4FDK,KR4GFN,KS2G,KS4S,KU4GZ,KU4KS,KV0I,KV4CQ,KX2NY,KY4UE,KY4XV,KZ3P,N0EBQ,N0HJZ,N0JNM,N1GBE,N1IBM,N1NQD,N1WRK,N1XI,N2BFD,N2BOC,N2BTD,N2EZY,N2KIO,N2MEE,N2MF,N2OIG,N2PA,N2PEQ,N2PP,N2PQJ,N2PTF,N2RC,N2SQW,N2T,N2TKL,N2TKT,N2TO,N2Y,N2ZX,N2ZZ,N3AAS,N3GTH,N3KN,N3LOU,N3PAT,N3QXC,N3RF,N4CPR,N4EA,N4HAY,N4HOS,N4HWH,N4RDJ,N4WME,N5DGR,N5JED,N5KW,N5MLP,N5SEB,N5WQ,N6PPO,N7EPD,N7RSS,N8HAM,N8HSD,N8II,N8MD,N8QE,N9EAT,N9WPY,NF0N,NM2A,NN2L,NQ2U,NS4TT,NV4M,NX9T,NY2A,OH9ENA,OM2VL,PJ7AR,VA3CRL,VA3KRJ,VA3PNL,VA3SV,VA3VS,VA3ZJW,VE1AFY,VE1RAE,VE1RGO,VE1RPX,VE2VZ,VE3BM,VE3IFT,VE3KZE,VE3LBI,VE3LJW,VE3YT,VE4RY,W0BM,W0KEG,W0ZQ,W1BCB,W1FM,W1SRR,W1SSN,W1WCI,W1WV,W2AAA,W2BMT,W2BUD,W2DXE,W2E,W2FU,W2GR,W2HL,W2HMT,W2JCT,W2KAC,W2NYW,W2OW,W2PJ,W2R,W2TB,W2VDZ,W3FIZ,W3FN,W3TKB,W3UC,W4DGA,W4ER,W4JHO,W4LWC,W4PUD,W4SIG,W4TTA,W4WWQ,W4YEE,W5BZW,W5O,W5SSV,W6JMP,W7KAM,W8CBG,W8HCG,W8JAY,W8NUD,W8PI,W9AFK,W9ARO,W9JPR,W9MEG,W9NZ,W9TCV,WA1NIP,WA2CNJ,WA2CP,WA2DE,WA2DNI,WA2GOT,WA2JIM,WA2JQK,WA2LMC,WA2QAU,WA2QYA,WA3ZTR,WA5NTF,WA5SOG,WA8VYG,WA8ZBT,WA9DLB,WA9VYT,WA9YI,WB0YYE,WB2AMN,WB2JLR,WB2KAO,WB2KLD,WB3HPE,WB4LAI,WB5JAN,WC4Z,WF5TV,WN0T,WO4O,WT2Q,WV2FIE,WW1H,WW2Y,WX8J,WZ4T,ZL4CZ"
KS,106,"AA2DW,AA2ZW,AB3CX,AC2FA,AD2MM,AH2O,K2A,K2A/ALB,K2A/BRM,K2A/DEL,K2A/DUT,K2AL,K2EAG,K2EP,K2NV,K2Q,K2Q/M,K2QB,K2RC,K2SSS,K2V,K2V/ONE,K2V/ONO,K2XA,K2ZR,K2ZX,K3GHH/2,K4RUM,KC2KY,KC2UWS,KD2DLL,KD2EFR,KE2AUS,KE2DEB,KE2SD,KE2X,KM2L,KM2O,KN2M,KO8SCA,KR2AA,KS2G,KX2NY,N1NQD,N2B,N2BOC,N2CU,N2CU/M,N2GA,N2MEE,N2MF,N2PA,N2PP,N2PYH,N2RC,N2SQW,N2T,N2T/MTG,N2T/SCO,N2T/SCU,N2T/SEN,N2T/TOM,N2TO,N2WP,N2Y,N2ZX,N3KTA,NJ1F,NM2A,NN2L,NQ2W,W20W,W2AAA,W2CCC,W2DQ,W2DXE,W2FU,W2GDJ,W2GR,W2LC,W2M,W2OW,W2PJ,W2QL,W2SO,W2TB,W2TZ,W2XA,W2ZA,WA2CHV,WA2CP,WA2CP/RIC,WA2DE,WA2DNI,WA2GOT,WA2NYY,WA2QAU,WB2AMN,WB2JLR,WB2KAO,WB2KWC,WB2SIH,WB2SLR,WB2WPM,WW2P,WW2Y"
KY,47,"AA2ZW,AH2O,K2A,K2AL,K2EAG,K2NV,K2QB,K2SSS,K2XA,K2ZR,K4RUM,KC2KY,KD2EFR,KE2SD,KM2L,KO8SCA,KR2AA,KS2G,KX2NY,N1NQD,N2CU,N2GA,N2MF,N2NF,N2PP,N2RC,N2T,N2Y,N2ZX,NM2A,NQ2W,W2CCC,W2FU,W2GR,W2LC,W2M,W2PJ,W2QL,W2TB,W2TZ,WA2CP,WA2DNI,WA2QAU,WB2AMN,WB2KAO,WW2P,WW2Y"
LA,32,"AB3CX,AH2O,K2A,K2A/DEL,K2QB,K2SSS,K4RUM,KD2EFR,KE2CUM,KE2SD,KM2L,KO8SCA,KR2AA,KS2G,KX2NY,N2B,N2CU,N2GA,N2MF,N2PA,N2PP,N2T,N2Y,N2ZX,NQ2W,W2FU,W2M,W2PJ,W2SO,WB2AMN,WB2KAO,WW2Y"
LEW,121,"AA2IL,AB3CX,AC0W,AC2RL,AI5G,K0HB,K0RC,K1AJ,K1RO,K2QB,K2SSS,K2XA,K2YG,K3GHH/2,K3QP,K3TN,K4GM,K4GSX,K4RUM,K4YFH,K5CM,K5QQ,K6ACW,K7REL,K8CW,K8MR,K9CW,K9NW,K9PW,KB0NES,KB8GAE,KC3M,KD2KEH,KD2KW,KD8DEU,KE8PX,KM2L,KM2O,KQ3F,KR2AA,KR4AE,KW4EE,KW9A,KX2NY,KX2P,KY7M,N0HJZ,N1API,N1IBM,N2GA,N2MF,N2PP,N2RC,N2SQW,N2ZX,N3GJ,N3XF,N3ZZ,N4CW,N5KW,N5NZ,N5RZ,N6DE,N6MU,N6YU,N7IR,N8DNA,N8II,N9NM,NE2R,NE8P,NF0N,NN2NN,NQ2W,NW0M,NX9B,OM2VL,VE3AQ,VE3EUT,VE3TM,VE3YT,VE7ZO,W0ELT,W0UC,W0UY,W0ZQ,W1AJT,W1SSN,W1TO,W2DXE,W2NO,W2RQ,W2TZ,W2UP,W3FIZ,W3MA,W3TB,W4LEW,W4SIG,W5TM,W8HCG,W8PI,W9DC,W9KXQ,WA0MHJ,WA1FMM,WA2CP,WA5SOG,WA8QKY,WA8ZBT,WA9FET,WA9LEY,WB2JLR,WB2PJH,WB8ASI,WB9HFK,WN4AFP,WO4O,WP3PW,WQ7A,WX8C"
LIV,231,"AA1NK,AA2IL,AA2ZW,AA3LX,AA3R,AB3CX,AC0W,AC2RL,AC6ZM,AD4GG,AD9DR,AI2T,AI5G,AJ5ZX,AK4SQ,DP6T,F4EUG,F8PDR,G3SWH,K0AD,K0HB,K0MPH,K0RC,K0TRL,K0UU,K1BZ,K1VUT,K2A,K2DBK,K2H,K2KT,K2MAA,K2MK,K2MN,K2MV,K2NV,K2OS,K2Q,K2QB,K2RSK,K2SSS,K2XA,K2YG,K2ZR,K3GHH/2,K3GWK,K3IS,K3QP,K4AMC,K4BSK,K4DR,K4FTO,K4GSX,K4KYN,K4QQG,K4RUM,K5CM,K5GE,K5MAY,K5QQ,K5VR,K5WSN,K7REL,K8CW,K8MR,K8RGI,K9CC,K9CW,K9PW,KA0PQW,KA2MGE,KA3EEO,KA8TOA,KB3NSK,KB9FPY,KB9YVT,KC0DMF,KC0INP,KD2KW,KD2YMM,KD5J,KE0TT,KE1IS,KE2EGF,KE9ND,KG9X,KI8GM,KK0DJ,KK4TE,KM8L,KN6VTC,KO8SCA,KQ3F,KR2AA,KR4AE,KU8T,KW4EE,KW9A,KX2NY,KX2P,KY7M,N0AX,N0HJZ,N0LY,N0UR,N1IBM,N1NQD,N2JJ,N2MF,N2PP,N2RC,N2SQW,N2T,N2Y,N2ZX,N3AM,N3CKI,N3GJ,N3IW,N3JT,N3KI,N3KN,N4CW,N4EMP,N4GK,N4IJ,N4IU,N5EP,N5KW,N5RZ,N5TJ,N6DE,N6MU,N7IR,N7LRG,N8DNA,N8HAM,N8II,N8RGA,N9EAT,N9MS,N9NM,NC2M,NE4S,NE5A,NE8P,NG2P,NI8W,NN2L,NN7A,NS8O,NX9B,NY0A,OM2VL,VA4ADM,VE1RGO,VE3AQ,VE3DQN,VE3NFN,VE3OMV,VE3SIF,VE3TM,VE3YT,VE7ZO,W0BH,W0BM,W0ELT,W0UC,W0ZQ,W1AJT,W1ARY,W1EGJ,W1FM,W1JHG,W1LTC,W1QK,W1SSN,W2CH,W2FU,W2GD,W2M,W2QCY,W2RQ,W2SO,W2TB,W2TZ,W2VM,W3MJK,W3TKB,W3US,W4CB,W4EE,W4LEW,W4VIC,W4YE,W5TM,W7GF,W8HCG,W8PI,W9ARO,W9DC,W9KXQ,W9QL,W9SN,WA0LIF,WA1R,WA2CHV,WA2JLW,WA2NYY,WA2QAU,WA2VZQ,WA5SOG,WA8KAN,WA8ZBT,WA9LEY,WA9YI,WB0CWB,WB2AMN,WB2JLR,WB2KAO,WB9HFK,WE3J,WJ8Y,WO4O,WQ6X,WW0Z,WW2J,WW2P,WW2Y,WW5L,WX8C"
MA,121,"AA2ZW,AB2FN,AB3CX,AC2XC,AD2MM,AD2TM,AH2O,AI2T,K0SID,K2A,K2AL,K2EAG,K2EP,K2G,K2MAS,K2MF,K2MV,K2NV,K2Q,K2Q/M,K2QB,K2SSS,K2UPD,K2V,K2XA,K2ZR,K3GHH/2,K4RUF,K4RUM,KA2KGP,KB2TDT,KC2KY,KC2MBV,KC2SRZ,KD2DLL,KD2EFR,KD2XFR,KE2AIZ,KE2ED,KE2EGF,KE2ELI,KE2EVX,KE2SD,KE2X,KM2L,KM2O,KN2M,KO8SCA,KR2AA,KS2G,KV2X/M,KX2NY,N1GBE,N1NQD,N2A,N2B,N2BOC,N2CU,N2CU/M,N2DJS,N2GA,N2MF,N2PA,N2PEQ,N2PP,N2PQJ,N2PYH,N2RC,N2SLO,N2T,N2TN,N2Y,N2YBB,N2ZX,N3KTA,NJ1F,NM2A,NN2L,NQ2U,NQ2W,NY2A,W1WV/M,W2CCC,W2DXE,W2E,W2ELS,W2FU,W2GDJ,W2GR,W2IG,W2JCT,W2LC,W2M,W2NTV,W2NY,W2NYW,W2OW,W2PJ,W2QCY,W2QL,W2REA,W2SO,W2TB,W2TZ,WA2CHV,WA2CP,WA2DNI,WA2GOT,WA2JQK,WA2N,WA2NYY,WA2QAU,WA3AFS,WB2AMN,WB2JLR,WB2KAO,WB2KLD,WB2SIH,WK2G,WW2P,WW2Y"
