County,Rank,Callsign,QSOs
ALB,1,K2QY,62
ALB,2,K2IW,56
ALB,3,N1TJC,18
CHA,1,KJ2LBR,96
ERI,1,W2E,236
ERI,2,W2E/WB2ELW,236
FRA,1,WW2Y,923
KIN,1,WA2DE,286
KIN,2,AD2MM,162
MON,1,NN2L,492
NAS,1,K2PTC,160
NIA,1,KD2EFR,805
ONE,1,VE3TM,150
ONE,2,VE3DQN,56
ONE,3,VA3KRJ,44
ONT,1,N2LOL,8
QUE,1,KE2EEQ,29
RIC,1,N2TO,190
SAR,1,WA3INC,44
SAR,2,KG5JEN,15
SUL,1,K0SID,173
WAR,1,NQ2W,543
WES,1,KE2CNS,47
